resnet50_loss,bootstrapping1,bootstrapping2,bootstrapping3
157.51256555605102,136.1995735085886,136.15629911938782,131.26130894116338
189.20076674954367,185.17009278587037,183.73856070459416,181.3765448623698
139.2124905961663,141.73605164256955,146.90619990855004,137.67005268837428
135.13044437854055,131.7870770032105,133.02668884224286,133.37981121344083
143.77987380665704,138.91280052796586,131.14336279308372,124.86408818954573
186.66441847443923,177.70279135537322,167.30239302193908,164.94546329695206
185.74024923892017,190.70190069156143,187.65108387695926,197.82944683817172
157.73649475049552,144.86377260015811,148.667446766891,151.44186606287658
113.89907988293214,108.0713728811388,106.34329077849772,116.46216784305109
146.141828879342,139.496006940805,141.4615296103105,139.84611748230157
141.54816034863282,148.7977825551913,155.675263956168,160.34477273575425
222.6639715271649,221.71966073670063,215.96790983283657,209.873961478351
265.8954006558873,265.99656612786305,268.5495626591423,260.10295280339915
152.29794153119548,133.75687641797856,139.21226411075648,139.34982477366842
212.43324982257724,202.8789405278189,183.85616669983705,183.13213248948261
175.6147466745379,158.74934273297717,163.3121426534181,160.0393692111069
149.4349874334624,128.21085840239522,132.26360794279793,122.75949699427643
175.77794026333862,158.82636389404553,169.65279460659926,171.55121972218313
199.0210617906284,218.21283059389145,168.99114468884687,153.61530466310637
286.3326164211252,251.8283392020443,181.60248815740462,191.03492678461143
191.14032491659646,179.65669271592537,182.46422794953696,181.2974719950615
135.97141717931478,115.06302318013178,121.49773821173756,112.51366404800808
217.7276759369087,170.490901194868,178.49985244399082,181.16276525139338
145.85595794628412,130.8398459754709,137.4164789532003,133.36135428892618
164.92173497573344,132.8349795295878,131.57441982951133,144.10501700416452
187.03007575375733,183.64423096491402,186.59311095683182,175.53564613478676
123.940526301679,130.88572797957931,137.30793413890208,137.45255698424924
214.7225330580433,222.1340558958565,214.926713465265,225.39703553041718
171.04738190361863,148.8442288594826,152.20502248638732,151.4648842104711
182.00078291675962,186.16014986880973,188.65248016837242,183.53076664627795
186.32538986030468,183.59179435447825,186.80029094616103,187.24167123467382
156.94734485487731,147.2325536118971,150.284839299405,144.22669519813385
159.1217623381975,161.27437332088275,163.32592884437497,154.69698004514072
182.6212214876902,178.99948605832066,178.7451101114139,172.12548421167736
140.80292289314332,129.837599542221,123.09538586181469,123.29747689006213
163.0368136632669,198.9316325013212,173.51451988577847,163.346653391409
139.70823809089876,138.76392535096457,137.58862590565042,132.49236078368565
224.52400990090263,220.01756111624718,217.4166117584324,220.70552556320004
137.21278383114637,140.3659639825144,149.211031920297,132.08340364208743
140.3515031325276,130.37888392369504,134.44490168474312,123.20580640180776
186.11826988229512,186.02937593248015,188.247653188135,177.95457949518342
251.12018287123212,186.7932083623945,238.16738713125542,234.16730247271815
190.20309779718016,177.94025757949137,171.54120404726748,172.32270133483016
204.1934059658857,200.15394635818612,196.5098074958996,192.24790280267783
170.1313222036389,166.84216960851313,160.34200103040763,158.16958780427598
185.8513725928901,162.67946860737715,167.10477528257644,158.60092359131755
147.60948862243546,147.50405998345028,151.77718965879112,137.80583799327317
164.94946148516814,173.5946245905983,148.2656109900074,158.05423870065815
131.87560778750364,132.75974090067348,121.96322957743445,124.44106290554548
193.85066946220246,189.8982280569404,195.34245309977717,188.18148116921142
151.84933169470153,151.33580703372004,149.37717489463645,141.4293773408149
204.55679643862018,188.52175969463627,190.2145637860493,185.7150077964301
159.5551610750599,136.0331884824845,143.20913264105758,135.9954674845813
169.81434361886733,174.3637157076593,166.92028626255276,161.2125459725359
159.15450931476886,153.25731045331747,174.90987779370082,167.89548316632903
219.71520805597862,194.0732388932143,209.32614744056198,203.15952795838038
387.2082423559395,362.05242099473986,372.72659414020484,293.85784912111376
